autor,religiosidad_supersticion,muerte_duelo,amor_deseo,aldea_ciudad,violencia_agresion,ciclo_agricola,trabajo_jornalero,hambre_subsistencia,deuda_usura,movilidad_interna,caciquismo_poder,genero_roles,herencia_tierra,morriña_nostalgia,migracion_embarque,retorno_indiano
Manuel Curros Enriquez,1.66,1.74,1.45,1.15,0.41,0.71,0.41,0.53,0.18,0.03,0.24,0.3,0.09,0.09,0.0,0.03
Curros Enríquez Manuel,1.66,1.74,1.45,1.15,0.41,0.71,0.41,0.53,0.18,0.03,0.24,0.3,0.09,0.09,0.0,0.03
Curros Enriquez Manuel,1.66,1.74,1.45,1.15,0.41,0.71,0.41,0.53,0.18,0.03,0.24,0.3,0.09,0.09,0.0,0.03
Valle-Inclán Ramón M,0.0,2.46,0.0,0.49,1.48,0.0,1.97,0.0,1.97,0.0,0.0,0.0,0.49,0.0,0.0,0.0
Cuentos Varios (Corpus),0.43,1.13,0.88,0.58,0.27,0.64,0.26,0.38,0.5,0.02,0.58,0.21,0.58,0.12,0.09,0.15
Valle-Inclan Ramon Del,1.98,0.61,0.28,0.19,0.14,0.85,0.33,0.56,0.28,0.0,0.05,0.09,0.09,0.0,0.0,0.0
Ramon Del Valle-Inclan,1.98,0.61,0.28,0.19,0.14,0.85,0.33,0.56,0.28,0.0,0.05,0.09,0.09,0.0,0.0,0.0
Afonso Rodriguez Castelao,0.61,0.46,0.36,1.17,0.15,0.0,0.31,0.25,0.0,1.32,0.25,0.25,0.0,0.05,0.2,0.05
Rodriguez Lopez Xesus 1859-1917,1.89,0.83,0.48,0.44,0.53,0.5,0.04,0.11,0.09,0.04,0.02,0.09,0.04,0.04,0.02,0.02
Rodriguez Lopez Xesus,1.89,0.83,0.48,0.44,0.53,0.5,0.04,0.11,0.09,0.04,0.02,0.09,0.04,0.04,0.02,0.02
Otros Autores,0.9,0.73,0.74,0.27,0.36,0.36,0.19,0.15,0.14,0.16,0.19,0.07,0.03,0.06,0.04,0.03
Dieste Rafael,0.3,1.08,1.08,0.05,0.28,0.4,0.15,0.32,0.23,0.01,0.05,0.04,0.03,0.04,0.01,0.01
Rafael Dieste,0.3,1.08,1.08,0.05,0.28,0.4,0.15,0.32,0.23,0.01,0.05,0.04,0.03,0.04,0.01,0.01
Alfonso Daniel Rodriguez Castelao,0.46,0.0,0.3,1.37,0.76,0.0,0.0,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.0,0.0
Pardo Bazan Emilia,0.54,0.67,0.66,0.18,0.38,0.23,0.15,0.09,0.15,0.02,0.18,0.07,0.1,0.04,0.03,0.07
Emilia Pardo Bazan,0.54,0.67,0.66,0.18,0.38,0.23,0.15,0.09,0.15,0.02,0.18,0.07,0.1,0.04,0.03,0.07
Castro Rosalia De,0.46,0.49,1.37,0.07,0.25,0.1,0.02,0.18,0.05,0.1,0.05,0.1,0.05,0.08,0.02,0.02
Rosalia De Castro,0.46,0.49,1.37,0.07,0.25,0.1,0.02,0.18,0.05,0.1,0.05,0.1,0.05,0.08,0.02,0.02
Pondal Eduardo,0.79,0.0,0.98,0.07,0.1,0.0,0.0,0.1,0.1,0.98,0.03,0.03,0.0,0.07,0.1,0.0
Eduardo Pondal,0.79,0.0,0.98,0.07,0.1,0.0,0.0,0.1,0.1,0.98,0.03,0.03,0.0,0.07,0.1,0.0
Castro Rosalía De,0.59,0.06,1.24,0.03,0.28,0.06,0.0,0.12,0.0,0.03,0.03,0.15,0.09,0.03,0.03,0.03
Pardo Bazán Emilia,0.55,0.47,0.57,0.07,0.39,0.06,0.04,0.03,0.06,0.01,0.01,0.04,0.03,0.01,0.02,0.06
Manuel Antonio,0.19,0.58,0.0,0.39,0.0,0.0,0.77,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.0
Antonio Manuel,0.19,0.58,0.0,0.39,0.0,0.0,0.77,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.0
Castelao Alfonso Rodriguez,0.15,0.06,0.31,0.19,0.25,0.01,0.05,0.2,0.06,0.2,0.05,0.07,0.01,0.02,0.03,0.01
Castelao Alfonso R,0.14,0.06,0.31,0.15,0.23,0.01,0.05,0.2,0.07,0.2,0.05,0.07,0.01,0.02,0.04,0.01
Alfonso R. Castelao,0.09,0.02,0.31,0.03,0.24,0.01,0.02,0.19,0.07,0.07,0.02,0.05,0.01,0.02,0.02,0.01
