obra_id,tokens_full,tokens_snippet,mismatch_abs,mismatch_pct,n_units,avg_unit_chars,flag_20pct,flag_10pct
castelao_cousas_tei_v2,11564,707,10857,0.9389,3,1299.3,1,1
curros_enriquez_aires_de_la_tierra.tei,33832,33835,3,0.0001,51,3635.2,0,0
la_danza_del_peregrino,1723,1723,0,0.0,1,10308.0,0,0
la_mayorazga_de_bouzas,3731,3731,0,0.0,1,21676.0,0,0
la_hoz,2037,2037,0,0.0,1,12144.0,0,0
la_flor_seca,1523,1523,0,0.0,1,9101.0,0,0
la_flor_de_la_salud,1673,1673,0,0.0,1,9792.0,0,0
la_expiacion,2318,2318,0,0.0,1,13850.0,0,0
la_exangüe,1414,1414,0,0.0,1,8411.0,0,0
la_estrella_blanca,2150,2150,0,0.0,1,12940.0,0,0
la_emparedada,1205,1205,0,0.0,1,6960.0,0,0
Los-pazos-de-Ulloa-novela-original-precedida-de-unos-apuntes-autobiográficos-por-Emilia-Pardo-Bazán,262479,262479,0,0.0,1,1541943.0,0,0
la_señorita_aglae,1728,1728,0,0.0,1,9873.0,0,0
la_corpana,1355,1355,0,0.0,1,7894.0,0,0
la_charca,1578,1578,0,0.0,1,9448.0,0,0
la_camarona,1258,1258,0,0.0,1,7196.0,0,0
la_bicha,1719,1719,0,0.0,1,10125.0,0,0
la_aventura_del_ángel,1658,1658,0,0.0,1,9451.0,0,0
la_amenaza,1953,1953,0,0.0,1,11047.0,0,0
la-madre-naturaleza-2011,89822,89822,0,0.0,1,511634.0,0,0
la_mirada,1401,1401,0,0.0,1,8366.0,0,0
las_cutres,1521,1521,0,0.0,1,8944.0,0,0
las_caras,1550,1550,0,0.0,1,9550.0,0,0
queixumes_dos_pinos,30519,30519,0,0.0,1,209250.0,0,0
una_pasión,3529,3529,0,0.0,1,20791.0,0,0
testigo_irrecusable,1800,1800,0,0.0,1,10489.0,0,0
supersticiones_de_galicia_y_preocupaciones_vulgares_tei,56526,56526,0,0.0,1,326021.0,0,0
sempre_en_galiza_castelao_tei,167141,167141,0,0.0,1,1033688.0,0,0
santiago_el_mudo,1899,1899,0,0.0,1,11140.0,0,0
romance_de_lobos_001,617,617,0,0.0,1,3567.0,0,0
retrincos.tei,6571,6571,0,0.0,1,49788.0,0,0
puntería,1888,1888,0,0.0,1,10815.0,0,0
idilio,1463,1463,0,0.0,1,8862.0,0,0
por_el_arte,10011,10011,0,0.0,1,59925.0,0,0
poema_humilde,1762,1762,0,0.0,1,10264.0,0,0
nieto_del_cid,2915,2915,0,0.0,1,17057.0,0,0
morrión_y_boina,9785,9785,0,0.0,1,58152.0,0,0
manuel_antonio_de_catro_a_catro_tei,5176,5176,0,0.0,1,30530.0,0,0
madrugueiro,1640,1640,0,0.0,1,9708.0,0,0
las_tapias_del_campo_santo,3655,3655,0,0.0,1,21801.0,0,0
la-gota-de-sangre-1147839,13593,13593,0,0.0,1,79533.0,0,0
fuego_a_bordo,5907,5907,0,0.0,1,33320.0,0,0
aguila_de_blason_001,586,586,0,0.0,1,3538.0,0,0
dieste_muriel_tei,44780,44780,0,0.0,1,245618.0,0,0
el_morito,1577,1577,0,0.0,1,9391.0,0,0
el_molino,2322,2322,0,0.0,1,13587.0,0,0
el_mazo,1851,1851,0,0.0,1,10509.0,0,0
el_lorito_real,835,835,0,0.0,1,4830.0,0,0
el_indulto,2483,2483,0,0.0,1,14285.0,0,0
el_baile_del_querubín,4207,4207,0,0.0,1,25730.0,0,0
dieste_viaje_duelo_perdicion_tei,49965,49965,0,0.0,1,258981.0,0,0
de_polizón,1463,1463,0,0.0,1,8859.0,0,0
fraternidad,1195,1195,0,0.0,1,7416.0,0,0
cornada,1646,1646,0,0.0,1,9626.0,0,0
contra_treta,1666,1666,0,0.0,1,9833.0,0,0
castelao_os_dous_de_sempre,19623,19623,0,0.0,44,2840.8,0,0
cara_de_plata_001,828,828,0,0.0,1,4937.0,0,0
cantares_gallegos_001,32372,32372,0,0.0,1,188418.0,0,0
barbastro,1574,1574,0,0.0,1,9454.0,0,0
as_cruces_de_pedra_na_galiza_castelao_tei,8625,8625,0,0.0,3,17133.7,0,0
el_palacio_de_artasar,1410,1410,0,0.0,1,8490.0,0,0
el_peregrino,2170,2170,0,0.0,1,12686.0,0,0
el_quinto,1516,1516,0,0.0,1,9021.0,0,0
el_revólver,1585,1585,0,0.0,1,9213.0,0,0
follas_novas_001,28281,28281,0,0.0,1,166275.0,0,0
flor_de_santidad_001,19221,19221,0,0.0,1,106498.0,0,0
en_silencio,1860,1860,0,0.0,1,10704.0,0,0
en_el_nombre_del_padre,3579,3579,0,0.0,1,20981.0,0,0
en_coche-cama,1730,1730,0,0.0,1,9905.0,0,0
el_voto_de_rosiña,1480,1480,0,0.0,1,8803.0,0,0
el_voto,1529,1529,0,0.0,1,8719.0,0,0
el_vino_del_mar,1493,1493,0,0.0,1,8982.0,0,0
el_tornado,1921,1921,0,0.0,1,10816.0,0,0
el_tetrarca_en_la_aldea,1645,1645,0,0.0,1,9694.0,0,0
el_templo,1524,1524,0,0.0,1,9114.0,0,0
el_sonar_del_río,1720,1720,0,0.0,1,9956.0,0,0
el_sino,1587,1587,0,0.0,1,9583.0,0,0
el_senor_doctoral,3374,3374,0,0.0,1,19944.0,0,0
el_rompecabezas,1315,1315,0,0.0,1,7623.0,0,0
viernes_santo,4293,4293,0,0.0,1,24306.0,0,0
