obra_id,tokens_total_full,chars_total_full,tokens_source
Los-pazos-de-Ulloa-novela-original-precedida-de-unos-apuntes-autobiográficos-por-Emilia-Pardo-Bazán,262479,1541943,fulltext_tei
aguila_de_blason_001,586,3538,fulltext_tei
as_cruces_de_pedra_na_galiza_castelao_tei,8625,51403,fulltext_tei
barbastro,1574,9454,fulltext_tei
cantares_gallegos_001,32372,188418,fulltext_tei
cara_de_plata_001,828,4937,fulltext_tei
castelao_cousas_tei_v2,11564,64837,fulltext_tei
castelao_os_dous_de_sempre,19623,125036,fulltext_tei
contra_treta,1666,9833,fulltext_tei
cornada,1646,9626,fulltext_tei
curros_enriquez_aires_de_la_tierra.tei,33832,185424,fulltext_tei
de_polizón,1463,8859,fulltext_tei
dieste_muriel_tei,44780,245618,fulltext_tei
dieste_viaje_duelo_perdicion_tei,49965,258981,fulltext_tei
el_baile_del_querubín,4207,25730,fulltext_tei
el_indulto,2483,14285,fulltext_tei
el_lorito_real,835,4830,fulltext_tei
el_mazo,1851,10509,fulltext_tei
el_molino,2322,13587,fulltext_tei
el_morito,1577,9391,fulltext_tei
el_palacio_de_artasar,1410,8490,fulltext_tei
el_peregrino,2170,12686,fulltext_tei
el_quinto,1516,9021,fulltext_tei
el_revólver,1585,9213,fulltext_tei
el_rompecabezas,1315,7623,fulltext_tei
el_senor_doctoral,3374,19944,fulltext_tei
el_sino,1587,9583,fulltext_tei
el_sonar_del_río,1720,9956,fulltext_tei
el_templo,1524,9114,fulltext_tei
el_tetrarca_en_la_aldea,1645,9694,fulltext_tei
el_tornado,1921,10816,fulltext_tei
el_vino_del_mar,1493,8982,fulltext_tei
el_voto,1529,8719,fulltext_tei
el_voto_de_rosiña,1480,8803,fulltext_tei
en_coche-cama,1730,9905,fulltext_tei
en_el_nombre_del_padre,3579,20981,fulltext_tei
en_silencio,1860,10704,fulltext_tei
flor_de_santidad_001,19221,106498,fulltext_tei
follas_novas_001,28281,166275,fulltext_tei
fraternidad,1195,7416,fulltext_tei
fuego_a_bordo,5907,33320,fulltext_tei
idilio,1463,8862,fulltext_tei
la-gota-de-sangre-1147839,13593,79533,fulltext_tei
la-madre-naturaleza-2011,89822,511634,fulltext_tei
la_amenaza,1953,11047,fulltext_tei
la_aventura_del_ángel,1658,9451,fulltext_tei
la_bicha,1719,10125,fulltext_tei
la_camarona,1258,7196,fulltext_tei
la_charca,1578,9448,fulltext_tei
la_corpana,1355,7894,fulltext_tei
la_danza_del_peregrino,1723,10308,fulltext_tei
la_emparedada,1205,6960,fulltext_tei
la_estrella_blanca,2150,12940,fulltext_tei
la_exangüe,1414,8411,fulltext_tei
la_expiacion,2318,13850,fulltext_tei
la_flor_de_la_salud,1673,9792,fulltext_tei
la_flor_seca,1523,9101,fulltext_tei
la_hoz,2037,12144,fulltext_tei
la_mayorazga_de_bouzas,3731,21676,fulltext_tei
la_mirada,1401,8366,fulltext_tei
la_señorita_aglae,1728,9873,fulltext_tei
las_caras,1550,9550,fulltext_tei
las_cutres,1521,8944,fulltext_tei
las_tapias_del_campo_santo,3655,21801,fulltext_tei
madrugueiro,1640,9708,fulltext_tei
manuel_antonio_de_catro_a_catro_tei,5176,30530,fulltext_tei
morrión_y_boina,9785,58152,fulltext_tei
nieto_del_cid,2915,17057,fulltext_tei
poema_humilde,1762,10264,fulltext_tei
por_el_arte,10011,59925,fulltext_tei
puntería,1888,10815,fulltext_tei
queixumes_dos_pinos,30519,209250,fulltext_tei
retrincos.tei,6571,49788,fulltext_tei
romance_de_lobos_001,617,3567,fulltext_tei
santiago_el_mudo,1899,11140,fulltext_tei
sempre_en_galiza_castelao_tei,167141,1033688,fulltext_tei
supersticiones_de_galicia_y_preocupaciones_vulgares_tei,56526,326021,fulltext_tei
testigo_irrecusable,1800,10489,fulltext_tei
una_pasión,3529,20791,fulltext_tei
viernes_santo,4293,24306,fulltext_tei
