doc_id,obra_id,unidad_id,unidad_tipo,titulo,autor,year_first_pub,decada_norm,genero_macro_normalizado,lengua,circuito,total_tokens,estructura_social_count,estructura_social_densidad,mediaciones_transatlanticas_count,mediaciones_transatlanticas_densidad,movilidad_orientacion_salida_count,movilidad_orientacion_salida_densidad,pobreza_hambre_alimentacion_count,pobreza_hambre_alimentacion_densidad,terra_casa_pertenencia_count,terra_casa_pertenencia_densidad,trabajo_deuda_count,trabajo_deuda_densidad,violencia_conflicto_count,violencia_conflicto_densidad
los_pazos_de_ulloa_novela_original_precedida_de_unos_apuntes_autobiograficos_por_emilia_pardo_bazan__cap_001,los_pazos_de_ulloa_novela_original_precedida_de_unos_apuntes_autobiograficos_por_emilia_pardo_bazan,cap_001,capitulo,Los Pazos De Ulloa Novela Original Precedida De Unos Apuntes Autobiográficos Por Emilia Pardo Bazán,Emilia Pardo Bazán,1886,1880,novela,es,,263644,1826,69.26,136,5.16,55,2.09,493,18.7,978,37.1,207,7.85,389,14.75
aguila_de_blason__sec_001,aguila_de_blason,sec_001,seccion,Águila de blasón,Ramón del Valle-Inclán,1907,1900,teatro,es,,587,8,136.29,0,0.0,0,0.0,0,0.0,2,34.07,0,0.0,2,34.07
as_cruces_de_pedra_na_galiza_castelao_tei__sec_002,as_cruces_de_pedra_na_galiza_castelao_tei,sec_002,seccion,As cruces de pedra na Galiza,Alfonso Daniel Rodriguez Castelao,1950,1950,ensayo,gl,A Coruña,5763,4,6.94,4,6.94,0,0.0,1,1.74,8,13.88,7,12.15,0,0.0
as_cruces_de_pedra_na_galiza_castelao_tei__sec_003,as_cruces_de_pedra_na_galiza_castelao_tei,sec_003,seccion,As cruces de pedra na Galiza,Alfonso Daniel Rodriguez Castelao,1950,1950,ensayo,gl,A Coruña,3120,12,38.46,0,0.0,0,0.0,3,9.62,2,6.41,0,0.0,1,3.21
barbastro__cuento_001,barbastro,cuento_001,cuento,Barbastro,Emilia Pardo Bazán,1900,1900,cuento,es,,1480,8,54.05,0,0.0,5,33.78,0,0.0,6,40.54,2,13.51,2,13.51
cantares_gallegos__poesia_001,cantares_gallegos,poesia_001,poesia,Cantares Gallegos,Rosalía de Castro,1863,1860,poesia,es,,32300,38,11.76,4,1.24,4,1.24,37,11.46,117,36.22,1,0.31,18,5.57
cara_de_plata__sec_001,cara_de_plata,sec_001,seccion,Cara de plata,Ramón del Valle-Inclán,1923,1920,teatro,es,,829,3,36.19,0,0.0,0,0.0,0,0.0,7,84.44,4,48.25,4,48.25
castelao_cousas__cuento_001,castelao_cousas,cuento_001,cuento,Cousas,Alfonso Daniel Rodriguez Castelao,1926,1920,cuento,gl,Galicia,11506,45,39.11,5,4.35,17,14.77,31,26.94,54,46.93,8,6.95,3,2.61
castelao_os_dous_de_sempre__cap_001,castelao_os_dous_de_sempre,cap_001,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,335,0,0.0,0,0.0,0,0.0,0,0.0,8,238.81,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_002,castelao_os_dous_de_sempre,cap_002,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,393,0,0.0,0,0.0,0,0.0,4,101.78,1,25.45,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_003,castelao_os_dous_de_sempre,cap_003,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,490,2,40.82,0,0.0,0,0.0,6,122.45,1,20.41,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_004,castelao_os_dous_de_sempre,cap_004,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,449,1,22.27,0,0.0,0,0.0,2,44.54,3,66.82,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_005,castelao_os_dous_de_sempre,cap_005,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,543,5,92.08,0,0.0,0,0.0,1,18.42,0,0.0,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_006,castelao_os_dous_de_sempre,cap_006,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,562,2,35.59,5,88.97,1,17.79,3,53.38,3,53.38,0,0.0,0,0.0
